<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.12.01	01:51:00	1.08927	1.08927	1.08925	1.08927	4	0	8
2023.12.01	01:52:00	1.08926	1.08929	1.08926	1.08929	7	0	8
2023.12.01	01:53:00	1.08929	1.08932	1.08928	1.08932	9	0	9
2023.12.01	01:54:00	1.08931	1.08931	1.08922	1.08923	16	0	8
2023.12.01	01:55:00	1.08923	1.08928	1.08923	1.08928	15	0	8
2023.12.01	01:56:00	1.08927	1.08928	1.08925	1.08925	11	0	9
2023.12.01	01:57:00	1.08923	1.08923	1.08914	1.08914	19	0	8
2023.12.01	01:58:00	1.08915	1.08917	1.08911	1.08912	16	0	7
2023.12.01	01:59:00	1.08917	1.08917	1.08908	1.08912	13	0	9
2023.12.01	02:00:00	1.08912	1.08930	1.08912	1.08927	24	0	0
2023.12.01	02:01:00	1.08927	1.08933	1.08927	1.08932	11	0	0
2023.12.01	02:02:00	1.08933	1.08939	1.08932	1.08939	14	0	0
2023.12.01	02:03:00	1.08939	1.08942	1.08938	1.08939	19	0	0
2023.12.01	02:04:00	1.08939	1.08943	1.08937	1.08943	21	0	0
2023.12.01	02:05:00	1.08947	1.08959	1.08947	1.08958	15	0	0
2023.12.01	02:06:00	1.08958	1.08958	1.08954	1.08954	6	0	0
2023.12.01	02:07:00	1.08950	1.08950	1.08944	1.08948	11	0	0
2023.12.01	02:08:00	1.08943	1.08944	1.08942	1.08942	6	0	0
2023.12.01	02:09:00	1.08942	1.08949	1.08942	1.08948	11	0	0
2023.12.01	02:10:00	1.08946	1.08968	1.08946	1.08963	18	0	0
2023.12.01	02:11:00	1.08962	1.08968	1.08959	1.08960	25	0	0
2023.12.01	02:12:00	1.08964	1.08968	1.08964	1.08965	22	0	0
2023.12.01	02:13:00	1.08966	1.08978	1.08966	1.08973	19	0	0
2023.12.01	02:14:00	1.08971	1.08978	1.08968	1.08977	26	0	0
2023.12.01	02:15:00	1.08977	1.08982	1.08975	1.08979	16	0	0
2023.12.01	02:16:00	1.08978	1.08982	1.08977	1.08978	12	0	0
2023.12.01	02:17:00	1.08979	1.08983	1.08978	1.08980	15	0	0
2023.12.01	02:18:00	1.08979	1.08984	1.08979	1.08984	12	0	0
2023.12.01	02:19:00	1.08983	1.08988	1.08983	1.08984	13	0	0
2023.12.01	02:20:00	1.08982	1.08987	1.08982	1.08984	20	0	0
2023.12.01	02:21:00	1.08984	1.08987	1.08978	1.08978	15	0	0
2023.12.01	02:22:00	1.08975	1.08979	1.08974	1.08977	20	0	0
2023.12.01	02:23:00	1.08976	1.08988	1.08976	1.08988	16	0	0
2023.12.01	02:24:00	1.08988	1.08994	1.08988	1.08994	10	0	0
2023.12.01	02:25:00	1.08996	1.09008	1.08996	1.09003	15	0	0
2023.12.01	02:26:00	1.09004	1.09004	1.09000	1.09001	15	0	0
2023.12.01	02:27:00	1.09002	1.09002	1.08993	1.08996	23	0	0
2023.12.01	02:28:00	1.08995	1.09007	1.08995	1.09003	29	0	0
2023.12.01	02:29:00	1.09003	1.09005	1.08993	1.08994	26	0	0
2023.12.01	02:30:00	1.08993	1.09006	1.08992	1.09005	29	0	0
2023.12.01	02:31:00	1.09003	1.09004	1.09001	1.09004	7	0	0
2023.12.01	02:32:00	1.09004	1.09016	1.09004	1.09014	11	0	0
2023.12.01	02:33:00	1.09014	1.09029	1.09014	1.09026	20	0	0
2023.12.01	02:34:00	1.09024	1.09029	1.09021	1.09029	32	0	0
2023.12.01	02:35:00	1.09029	1.09029	1.09019	1.09020	18	0	0
2023.12.01	02:36:00	1.09019	1.09020	1.09002	1.09005	18	0	0
2023.12.01	02:37:00	1.09007	1.09013	1.09006	1.09010	15	0	0
2023.12.01	02:38:00	1.09009	1.09015	1.09009	1.09010	27	0	0
2023.12.01	02:39:00	1.09010	1.09015	1.09009	1.09011	32	0	0
2023.12.01	02:40:00	1.09010	1.09010	1.08998	1.09000	21	0	0
2023.12.01	02:41:00	1.09002	1.09014	1.08999	1.09014	21	0	0
2023.12.01	02:42:00	1.09013	1.09016	1.09013	1.09015	22	0	0
2023.12.01	02:43:00	1.09014	1.09018	1.09014	1.09017	21	0	0
2023.12.01	02:44:00	1.09015	1.09024	1.09015	1.09024	18	0	0
2023.12.01	02:45:00	1.09024	1.09029	1.09019	1.09020	34	0	0
2023.12.01	02:46:00	1.09019	1.09026	1.09019	1.09024	29	0	0
2023.12.01	02:47:00	1.09024	1.09024	1.09013	1.09013	19	0	0
2023.12.01	02:48:00	1.09013	1.09015	1.09009	1.09009	22	0	0
2023.12.01	02:49:00	1.09010	1.09015	1.09009	1.09014	22	0	0
2023.12.01	02:50:00	1.09015	1.09015	1.09008	1.09013	22	0	0
2023.12.01	02:51:00	1.09012	1.09020	1.09009	1.09019	24	0	0
2023.12.01	02:52:00	1.09020	1.09020	1.09018	1.09020	13	0	0
2023.12.01	02:53:00	1.09019	1.09021	1.09018	1.09021	15	0	0
2023.12.01	02:54:00	1.09023	1.09029	1.09022	1.09028	22	0	0
2023.12.01	02:55:00	1.09027	1.09028	1.09013	1.09013	42	0	0
2023.12.01	02:56:00	1.09014	1.09027	1.09013	1.09026	20	0	0
2023.12.01	02:57:00	1.09026	1.09026	1.09019	1.09022	19	0	0
2023.12.01	02:58:00	1.09023	1.09024	1.09021	1.09024	16	0	0
